name,match_number,team_number,color,preload,ground_pickup_auton,ground_pickup_teleop,source_pickup_auton,source_pickup_teleop,speaker_notes_no_amp_auton,speaker_notes_no_amp_teleop,amplified_note,total_speaker_notes_auton,total_speaker_notes_teleop,amp_notes_auton,amp_notes_teleop,drop_fail,blocked_shots,times_they_blocked,total_fails,spotlight,buddy_climb,trap,onstage
Keith Ivashkov,59,6428,Purple,0,5,1,9,3,0,10,0,1,6,8,9,5,14,7,5,true,false,false,false
Klarika Ellar,59,2174,Turquoise,2,8,5,7,7,9,5,6,9,19,3,6,3,0,1,7,true,true,true,false
Shauna Huxstep,4,1303,Fuscia,2,6,3,7,6,10,9,6,20,10,1,8,5,12,8,1,true,false,true,false
Fanchette Pawson,8,1566,Goldenrod,0,3,5,6,9,7,9,10,1,8,7,10,1,0,1,1,false,true,false,false
Catherina Syne,38,9495,Yellow,5,8,2,7,2,0,9,3,2,9,4,9,5,14,5,1,true,true,false,false
Sollie Muehle,6,6913,Aquamarine,0,2,4,10,8,6,8,6,2,13,8,2,5,13,9,8,true,true,false,false
Jeffrey Calverd,17,2488,Goldenrod,0,2,8,5,9,1,0,3,4,2,5,3,4,3,0,1,true,false,false,true
Moe Di Iorio,95,8624,Yellow,4,0,6,6,7,10,5,6,17,15,9,3,2,10,9,2,true,false,false,false
Madelina Causon,20,8956,Blue,5,0,10,6,6,10,1,9,3,2,3,8,3,15,2,0,false,false,true,true
Charlotte Beecham,91,7282,Pink,2,6,2,2,1,7,6,1,9,14,7,10,5,14,5,6,true,true,true,false
Cassi Mockett,67,6048,Blue,0,0,4,3,8,1,4,5,15,1,3,5,2,15,3,0,true,true,true,false
Laureen Schlagtmans,98,5734,Orange,2,0,10,9,7,5,3,0,16,16,3,8,4,3,6,3,false,false,false,true
Ailee Ketch,97,1761,Maroon,5,5,2,0,2,3,7,4,0,10,4,5,3,18,6,1,false,true,false,true
Fransisco Maffey,8,4656,Teal,1,8,1,0,6,9,7,8,6,15,4,6,0,3,7,5,true,false,false,true
Jdavie Pearsey,73,6410,Yellow,2,9,9,4,5,10,0,3,0,3,4,8,0,2,0,1,false,false,true,true
Hugh Germann,42,4657,Crimson,4,7,10,7,1,6,0,5,1,8,0,1,5,12,3,9,false,true,true,false
Trixie Geffe,95,7460,Green,4,10,0,7,9,6,3,2,2,16,4,1,4,14,9,9,false,true,true,true
Angelique Denman,65,2290,Pink,0,9,9,7,1,8,0,5,4,5,4,4,2,3,3,2,false,false,false,false
Fayette Yo,80,9596,Goldenrod,3,2,9,6,1,4,9,8,14,7,8,2,3,6,7,8,false,false,true,false
Karleen Orvis,80,4328,Green,2,6,2,10,9,8,9,0,14,18,10,5,0,12,1,8,true,true,true,true
Bucky Dallison,63,9636,Maroon,0,2,4,10,9,5,4,0,15,20,6,4,5,12,1,8,true,true,true,true
Joyan Giblin,36,9073,Khaki,4,2,5,2,10,2,9,6,12,2,4,8,5,0,4,6,true,false,true,false
Peria Sindall,1,2573,Goldenrod,2,6,10,10,3,6,10,9,11,2,2,9,5,5,6,5,false,true,false,false
Carey Bosse,83,1984,Goldenrod,3,3,3,7,10,9,5,5,15,2,3,7,1,16,0,10,true,true,true,false
Neville Dewsbury,24,894,Aquamarine,3,4,10,6,0,8,3,4,11,17,3,5,4,17,8,7,false,false,true,true
Corrina Lamke,100,1339,Mauv,1,0,2,9,3,2,2,3,15,0,2,10,0,12,4,3,true,false,true,true
Troy Eagles,18,9960,Indigo,4,4,6,0,6,9,4,0,7,13,5,3,4,4,2,1,false,false,true,true
Drusilla Childs,22,1251,Purple,2,3,4,4,3,7,4,7,10,1,1,10,5,2,8,3,true,true,false,false
Jozef Brownlea,71,8979,Blue,1,2,5,5,9,10,8,4,9,20,9,5,4,20,5,2,true,true,true,true
Velvet Hebron,77,7755,Goldenrod,4,0,7,10,10,0,2,2,1,1,0,0,2,1,8,10,true,true,false,false
Odele Hevey,70,8821,Fuscia,5,2,5,10,4,8,9,3,6,0,0,1,4,13,0,5,false,false,true,false
Hillary Rosekilly,36,2958,Maroon,0,3,9,2,0,9,5,6,15,9,5,6,0,17,3,4,true,true,false,false
Abbott Ondracek,94,272,Turquoise,0,4,8,2,9,3,5,7,2,9,1,7,3,15,7,10,true,false,true,false
Zaria Raith,79,6212,Aquamarine,3,4,10,1,8,7,9,9,1,18,5,3,5,9,9,1,true,false,false,false
Carce Satteford,16,6382,Teal,2,0,2,1,3,0,9,0,5,8,3,2,2,8,7,9,false,false,true,true
Bonny Ditchburn,26,3734,Goldenrod,5,1,4,7,0,10,1,6,0,9,8,9,2,20,5,9,true,false,true,true
Ondrea Bartzen,31,5858,Maroon,1,1,3,1,9,5,5,8,9,11,3,2,2,18,4,10,true,true,true,false
Annissa Fernan,73,1493,Mauv,5,0,9,0,7,3,3,5,3,2,9,10,4,20,0,9,false,false,false,false
Gar Maddocks,2,9416,Violet,1,4,9,1,6,5,7,7,7,13,7,9,2,6,8,9,false,false,false,true
Guthry Ferrarone,28,4689,Turquoise,4,3,4,7,6,1,1,8,18,20,6,10,5,18,9,9,false,true,true,true
Inna Ashelford,30,4994,Red,2,2,5,5,8,2,3,10,20,0,8,8,4,12,2,1,true,false,false,false
Dianne Grebbin,1,2356,Puce,2,2,7,5,9,2,9,10,0,9,9,1,0,15,3,10,true,true,false,false
Gearalt Largan,6,2221,Teal,3,0,8,6,7,10,8,5,12,14,8,1,1,20,7,5,false,false,false,true
Elaina Northgraves,38,6943,Green,0,10,5,3,0,5,10,8,20,14,4,1,1,4,1,10,false,true,false,true
Saw Dobrowski,51,960,Yellow,3,3,4,4,4,10,7,0,4,5,7,3,3,2,1,1,true,true,false,false
Bobinette Cudbertson,22,8563,Crimson,4,8,1,0,4,8,1,4,2,11,9,7,0,3,3,10,true,false,false,false
Tanney Clutheram,12,6311,Purple,5,4,3,7,7,5,1,3,2,12,3,10,0,4,3,5,false,false,true,true
Charline Dunderdale,73,7271,Violet,3,3,6,8,2,9,0,6,7,12,8,6,4,7,0,9,true,true,true,true
Poppy Soeiro,8,4265,Orange,1,7,7,4,7,6,7,5,2,8,3,3,5,10,4,5,false,true,false,false
Doralyn Coupar,5,7095,Orange,4,4,5,7,10,9,1,8,12,11,7,8,2,14,2,1,false,false,false,true
